old_stem	new_stem	script	source_docs	status
(none)	figS4_seconddonor	NEW figS4_seconddonor.py	26_second_donor_preregistration.md (pbmc4k gate PASS P@100 0.8279; cross-donor concordance 84.2% within 100 bp; 4 libraries)	to-build (small; same scorer/nulls); gap 8's citable asset
kinnex_truth_validation	figS5_longread_rerank	kinnex_truth_validation.py -> figS5_longread_rerank.py (REBUILD; not yet executed)	11_verifier_corrections.md (BINDING); 05 QUARANTINE NOTE 2026-08-20	quarantined-rebuild-pending: rebuild under 11's corrections (never 'every stringency'; support axis is an alignment-record count, not de-duplicated UMIs - de-duplicate or relabel); numbers unquotable until rebuilt
motif_validation	figS6_motif	motif_validation.py -> figS6_motif.py (REBUILD re-anchored on cleavage points; not yet executed)	07 (SOUND); 05 s7	BLOCKED on gap 5: the shuffled-position null for the re-anchored -40..-5 window does not exist; without it the panel cannot ship
trusted_novel_funnel	figS7_novelfunnel	scripts/manuscript_figures/figS7_novelfunnel.py	16_trusted_novel_kinnex.md sv2 (FIXED); 19 s4	done-v2; renamed+regenerated 2026-09-02, audit TSVs byte-identical; TRUSTED_NOVEL_VERSION switch kept; DEMOTED from 21's main Fig 6 by the approved map amendment (d) - the negative result keeps full main-text prominence (own subsection R6, abstract sentence, Author Summary line, citation from the Kinnex corroboration paragraph); all C11 caveats travel verbatim (PolyA_DB deviation printed with the negative result; never quote the 50/100 bp pooled-truth values as meeting the target)
(none)	figS8_compute	NEW figS8_compute.py	fig3_tradeoff_compute.tsv (verified); 19 s3/s5	to-build; every wall time with concurrency disclosure per MUST-NOT-CLAIM 5
(none)	figS9_calibration_extended	NEW figS9_calibration_extended.py	fig4_calibration_*.tsv (verified); 14	to-build
clustering_concordance	figS10_clustering	clustering_concordance.py -> figS10_clustering.py (REBUILD + ablation panel; not yet executed)	05 s2 (FIXED, superseded record); R6 ablation numbers (PBMC AMI 0.708/ARI 0.502; Laughney median AMI 0.662/ARI 0.463 17/17; gene-level collapse AMI 0.698)	rebuild-pending: the positive result WITHOUT the 275370-sites-vs-14891-gene-totals ablation on the same axes must never ship; absorbs parameter_sweep's one durable finding (Leiden resolution dominates cluster count, +112.5%)
parameter_sweep	(retired outright; Leiden finding moves to figS10_clustering)	parameter_sweep.py (kept for the record; do not regenerate, do not cite)	05 s3 (superseded); results/paramsweep/VERDICTS.md s1 (binding label)	RETIRED with the VERDICTS s1 label that document demands: (i) results/paramsweep/VERDICTS.md s1 has PROVEN, by byte-identity of run/pasbed.bed on both species at levels 1.0 and -1, that --min-pas-prominence is a no-op on the lambda strategies - compute_lambda(heights) overrides it - so no prominence arm on the lambda_gradient cohort run could ever have been informative; (ii) audit of the shipped figure's 13 branches (parameter_sweep_per_dataset.tsv: A2_trim_*/A3_* only) shows they swept annotation-trim and clustering knobs, i.e. the shipped panels narrowly avoided plotting the proven no-op, but the 'robust to parameters' framing cannot ship over a pipeline whose advertised peak-calling knob is measured inert, and its underlying run is the pre-clip-seeded lambda_gradient cohort - the wrong caller for every current claim; (iii) its one real finding (Leiden resolution dominates, +112.5%) belongs to the dropped clustering claim and moves into figS10_clustering; the parameter sweep that matters now is Fig 3a's molecule-threshold sweep; any resurrected panel must carry the VERDICTS s1 inertness label on-figure
(none)	figS11_gatehistory	NEW figS11_gatehistory.py	12 CORRECTION; 13; 15; 19; 24; 26; 27 (gates); table T3	to-build (timeline: original gate, stale Stage-2 failure, disclosed post-hoc sweep, default committed 0e27b1a 01:18:59, arms 02:59:36, v2 re-run 16:14, every gate outcome on every arm)
version_progression	figS12_versions	scripts/manuscript_figures/figS12_versions.py	24_prime_preregistration.md s3 (Amendment 3; prime EXPLORATORY per 24 s3.4); results/prime_bench/README.md; reads fig2_accuracy.tsv	done; renamed+regenerated 2026-09-02, audit TSVs byte-identical; every prime value stays labelled EXPLORATORY
benchmark_curated	(retired outright)	benchmark_curated.py (kept for the record)	07_curated_benchmark_report.md (verified matcher lessons live there)	retired (21 s4.3): a round-2 intermediate; role superseded by fig2_accuracy's single scoring path (score_tool.py)
benchmark_headtohead	(retired outright)	benchmark_headtohead.py (kept for the record)	09_headtohead_results.md; 05 s8	retired: superseded by fig2_accuracy + 25's matched-N framing; its PeakATail depth panels remain flagged (harness bug 0g re-keyed but blocked on caller bug 0a per 05 s8) and must not be cited
benchmark_tools_running	(retired outright)	benchmark_tools_running.py (kept for the record)	-	retired: a progress/status figure that supports no claim
pbmc_novelty	(retired outright)	pbmc_novelty.py (kept for the record; pbmc_novelty_* scripts remain analysis utilities, not figures)	-	retired: superseded by the pre-registered trusted-novel analysis (figS7_novelfunnel)
fdr_calibration	(retired outright)	fdr_calibration.py (kept renderable for the record only)	14 (v1 context)	retired: v1 on the mis-keyed matrix; superseded by fig4_calibration
spermatogenesis_control	(retired outright)	spermatogenesis_control.py (kept for the record)	11_verifier_corrections.md; 05 QUARANTINE NOTE	retired: quarantined v1 (verdict PROBLEM - prose overstates); superseded by fig5_spermatogenesis
